city,county,county_auto
Abrud,Alba,AB
Abrud-Sat,Alba,AB
Achimetesti,Alba,AB
Acmariu,Alba,AB
Aiud,Alba,AB
Aiudul de Sus,Alba,AB
Albac,Alba,AB
Alba Iulia,Alba,AB
Alecus,Alba,AB
Almasu de Mijloc,Alba,AB
Almasu Mare,Alba,AB
Ampoita,Alba,AB
Anghelesti,Alba,AB
Arieseni,Alba,AB
Aronesti,Alba,AB
Arti,Alba,AB
Asinip,Alba,AB
Avramesti,Alba,AB
Avram Iancu,Alba,AB
Baba,Alba,AB
Bacainti,Alba,AB
Badai,Alba,AB
Bagau,Alba,AB
Bai,Alba,AB
Baia de Aries,Alba,AB
Balcaciu,Alba,AB
Balesti,Alba,AB
Balesti-Catun,Alba,AB
Balmosesti,Alba,AB
Balomiru de Camp,Alba,AB
Barabant,Alba,AB
Barasti,Alba,AB
Barbesti,Alba,AB
Bardesti,Alba,AB
Barlesti,Alba,AB
Barlesti-Catun,Alba,AB
Barsana,Alba,AB
Barzan,Alba,AB
Barzogani,Alba,AB
Bazesti,Alba,AB
Beldiu,Alba,AB
Benic,Alba,AB
Berghin,Alba,AB
Beta,Alba,AB
Bidigesti,Alba,AB
Biharia,Alba,AB
Biia,Alba,AB
Bilanesti,Alba,AB
Bisericani,Alba,AB
Bistra,Alba,AB
Blaj,Alba,AB
Blandiana,Alba,AB
Blidesti,Alba,AB
Bobaresti,Alba,AB
Bocesti,Alba,AB
Bocsitura,Alba,AB
Bodesti,Alba,AB
Bodresti,Alba,AB
Bogdanesti,Alba,AB
Boglesti,Alba,AB
Boldesti,Alba,AB
Bolovanesti,Alba,AB
Boncesti,Alba,AB
Bordestii Poieni,Alba,AB
Borlesti,Alba,AB
Botani,Alba,AB
Botesti,Alba,AB
Boz,Alba,AB
Bradeana,Alba,AB
Bradesti,Alba,AB
Bradet,Alba,AB
Brazesti,Alba,AB
Bubesti,Alba,AB
Bucerdea Granoasa,Alba,AB
Bucerdea Vanoasa,Alba,AB
Bucium,Alba,AB
Bucium-Sat,Alba,AB
Bucuru,Alba,AB
Budaiesti,Alba,AB
Budeni,Alba,AB
Bulbuc,Alba,AB
Buninginea,Alba,AB
Bunta,Alba,AB
Burzesti,Alba,AB
Burzonesti,Alba,AB
Butesti,Alba,AB
Calene,Alba,AB
Calnic,Alba,AB
Calugaresti,Alba,AB
Campeni,Alba,AB
Campu Goblii,Alba,AB
Candesti,Alba,AB
Capalna,Alba,AB
Capalna de Jos,Alba,AB
Captalan,Alba,AB
Capud,Alba,AB
Capu Dealului,Alba,AB
Carasti,Alba,AB
Carpen,Alba,AB
Carpenii de Sus,Alba,AB
Carpinis,Alba,AB
Cartulesti,Alba,AB
Casa de Piatra,Alba,AB
Casoaia,Alba,AB
Cenade,Alba,AB
Cerbu,Alba,AB
Cergau Mare,Alba,AB
Cergau Mic,Alba,AB
Certege,Alba,AB
Ceru-Bacainti,Alba,AB
Cetatea de Balta,Alba,AB
Cetea,Alba,AB
Cheia,Alba,AB
Cheile Cibului,Alba,AB
Cheleteni,Alba,AB
Cib,Alba,AB
Cicard,Alba,AB
Cicau,Alba,AB
Cioara de Sus,Alba,AB
Ciocasu,Alba,AB
Cionesti,Alba,AB
Cistei,Alba,AB
Cisteiu de Mures,Alba,AB
Ciuculesti,Alba,AB
Ciugud,Alba,AB
Ciugudu de Jos,Alba,AB
Ciugudu de Sus,Alba,AB
Ciuguzel,Alba,AB
Ciuldesti,Alba,AB
Ciumbrud,Alba,AB
Ciuruleasa,Alba,AB
Coasta Hentii,Alba,AB
Coasta Vascului,Alba,AB
Cobles,Alba,AB
Cocesti,Alba,AB
Cocosesti,Alba,AB
Cojocani,Alba,AB
Coleseni,Alba,AB
Colibi,Alba,AB
Coltesti,Alba,AB
Copand,Alba,AB
Corna,Alba,AB
Cornu,Alba,AB
Coroiesti,Alba,AB
Cortesti,Alba,AB
Coslariu,Alba,AB
Coslariu Nou,Alba,AB
Costesti,Alba,AB
Cotorasti,Alba,AB
Craciunelu de Jos,Alba,AB
Craciunelu de Sus,Alba,AB
Craiva,Alba,AB
Cretesti,Alba,AB
Cricau,Alba,AB
Criseni,Alba,AB
Cristesti,Alba,AB
Cucuta,Alba,AB
Cugir,Alba,AB
Culdesti,Alba,AB
Cunta,Alba,AB
Curaturi,Alba,AB
Curmatura,Alba,AB
Curpeni,Alba,AB
Cut,Alba,AB
Daia Romana,Alba,AB
Dambureni,Alba,AB
Dandut,Alba,AB
Darlesti,Alba,AB
Daroaia,Alba,AB
Deal,Alba,AB
Dealu Bajului,Alba,AB
Dealu Bistrii,Alba,AB
Dealu Capsei,Alba,AB
Dealu Caselor,Alba,AB
Dealu Crisului,Alba,AB
Dealu Dostatului,Alba,AB
Dealu Ferului,Alba,AB
Dealu Frumos,Alba,AB
Dealu Geoagiului,Alba,AB
Dealu Goiesti,Alba,AB
Dealu Lamasoi,Alba,AB
Dealu Muntelui,Alba,AB
Dealu Ordancusii,Alba,AB
Dealu Roatei,Alba,AB
Decea,Alba,AB
Deleni-Obarsie,Alba,AB
Deoncesti,Alba,AB
Deve,Alba,AB
Dilimani,Alba,AB
Dobra,Alba,AB
Dobresti,Alba,AB
Dobrot,Alba,AB
Dogaresti,Alba,AB
Dolesti,Alba,AB
Doptau,Alba,AB
Dos,Alba,AB
Dostat,Alba,AB
Dosu Luncii,Alba,AB
Dosu Vasesti,Alba,AB
Dragoiesti-Lunca,Alba,AB
Drambar,Alba,AB
Drasov,Alba,AB
Dric,Alba,AB
Duduieni,Alba,AB
Dumacesti,Alba,AB
Dumbrava,Alba,AB
Dumbravita,Alba,AB
Dumesti,Alba,AB
Dumitra,Alba,AB
Dupa Deal,Alba,AB
Dupa Plese,Alba,AB
Durasti,Alba,AB
Faget,Alba,AB
Fagetu de Jos,Alba,AB
