code,description
01012100,"Cai reproducatori de rasa pura, vii"
01012910,Cai vii destinati sacrificarii
01012990,Cai vii (excl. cei de rasa pura pentru reproducere si cei destinati sacrificarii)
01013000,Magari vii
01019000,Catari si bardoi vii
01022110,Juninci de rasa pura pentru reproducere  (bovine femele care nu au fatat niciodata)
01022130,Vaci reproducatoare de rasa pura (excl. juninci)
01022190,Bovine reproducatoare de rasa pura (excl.juninci si vaci)
01022905,Bovine vii din subgenul Bibos sau din subgenul Poephagus (excl.reproducatori de rasa pura)
01022910,"Bovine vii (excl.din subgenul Bibos sau din subgenul Poephagus; reproducatori de rasa pura), cu o greutate <= 80 kg"
01022921,"Bovine vii (excl.din subgenul Bibos sau din subgenul Poephagus; reproducatori de rasa pura), cu o greutate >80kg, dar <=160kg, destinate sacrificarii"
01022929,"Bovine vii (excl.din subgenul Bibos sau din subgenul Poephagus; reproducatori de rasa pura), cu o greutate >80kg, dar <=160kg, altele decat cele destinate sacrificarii"
01022941,"Bovine vii (excl.din subgenul Bibos sau din subgenul Poephagus; reproducatori de rasa pura), cu o greutate >160kg, dar <=300kg, destinate sacrificarii"
01022949,"Bovine vii (excl.din subgenul Bibos sau din subgenul Poephagus; reproducatori de rasa pura), cu o greutate >160kg, dar <=300kg, altele decat cele destinate sacrificarii"
01022951,"Juninci vii (care nu au fatat niciodata)(excl.din subgenul Bibos sau din subgenul Poephagus; reproducatori de rasa pura), cu o greutate >300kg, destinate sacrificarii"
01022959,"Juninci vii (care nu au fatat niciodata)(excl.din subgenul Bibos sau din subgenul Poephagus; reproducatori de rasa pura), cu o greutate >300kg, altele decat cele destinate sacrificarii"
01022961,"Vaci vii (excl.din subgenul Bibos sau din subgenul Poephagus; reproducatori de rasa pura), cu o greutate >300kg, destinate sacrificarii"
01022969,"Vaci vii (excl.din subgenul Bibos sau din subgenul Poephagus; reproducatori de rasa pura), cu o greutate >300kg, altele decat cele destinate sacrificarii"
01022991,"Alte bovine vii (excl.din subgenul Bibos sau din subgenul Poephagus; reproducatori de rasa pura; juninci si vaci), cu o greutate >300kg, destinate sacrificarii"
01022999,"Alte bovine vii (excl.din subgenul Bibos sau din subgenul Poephagus; reproducatori de rasa pura; juninci si vaci), cu o greutate >300kg, altele decat cele destinate sacrificarii"
01023100,"Bivoli vii, reproducatori de rasa pura"
01023910,"Bivoli vii, de specie domestica (excl.reproducatori de rasa pura)"
01023990,"Bivoli vii (excl.de specie domestica, excl.reproducatori de rasa pura)"
01029020,Reproducatori de rasa pura din specia bovine (excl.bovine si bivoli)
01029091,Animale vii din specia bovine domestice (excl. bovine si bivoli; reproducatori de rasa pura)
01029099,Animale vii din specia bovine (excl. bovine si bivoli; reproducatori de rasa pura si speciile domestice)
01031000,Reproducatori de rasa pura din specia porcine
01039110,"Animale domestice din specia porcine (excl.reproducatori de rasa pura), cu o greutate < 50 kg"
01039190,"Animale vii din specia porcine (excl.reproducatori de rasa pura, excl.din specia domestica), cu o greutate < 50 kg"
01039211,"Scroafe, din specia domestica, cu o greutate >= 160 kg, care au fatat cel putin o data (excl.reproducatori de rasa pura)"
01039219,"Animale domestice din specia porcine (excl.reproducatori de rasa pura), cu o greutate >= 50 kg (excl.scroafe cu o greutate >= 160 kg, care au fatat cel putin o data)"
01039290,"Alte animale vii din specia porcine (excl.reproducatori de rasa pura, excl.din specia domestica), cu o greutate >= 50 kg"
01041010,Reproducatori de rasa pura din specia ovine
01041030,Miei vii (pana la 1 an)(excl.reproducatori de rasa pura)
01041080,Animale vii din specia ovine (excl. miei si reproducatori de rasa pura)
01042010,Reproducatori de rasa pura din specia caprine
01042090,Animale vii din specia caprine (excl.reproducatori de rasa pura)
01051111,"Gaini de selectie si de reproductie, de rase ouatoare, vii, din specii domestice, cu o greutate <= 185 g"
01051119,"Gaini de selectie si de reproductie, altele decat cele de rase ouatoare, vii, din specii domestice, cu o greutate <= 185 g"
01051191,"Cocosi si gaini, vii, din specii domestice, cu o greutate <= 185 g, de rase ouatoare (excl.gaini de selectie si de reproductie)"
01051199,"Cocosi si gaini, vii, din specii domestice, cu o greutate <= 185 g, altele decat cele de rase ouatoare (excl.gaini de selectie si de reproductie)"
01051200,"Curcani si curci vii, din specii domestice, cu o greutate <= 185 g"
01051300,"Rate vii, din specii domestice, cu o greutate <= 185 g"
01051400,"Gaste vii, din specii domestice, cu o greutate <= 185 g"
01051500,"Bibilici vii, din specii domestice, cu o greutate <= 185 g"
01059400,"Cocosi si gaini vii, din specii domestice, cu o greutate > 185 g"
01059910,"Rate vii, din specii domestice, cu o greutate > 185 g"
01059920,"Gaste vii, din specii domestice, cu o greutate > 185 g"
